# Roll (rad)	Pitch (rad)	Heading (rad)	Latitude (rad)	Longitude (rad)	Altitude (m)	Heave (m)
0.023166731650593	0.0110756171816549	0.539993986577911	0.79606576306899	-2.1403749439678	-20.3096059011196	-0.00819123256951571
0.0237077923108247	0.0110642232065132	0.540067334526052	0.796065766653426	-2.14037494246726	-20.3089708980385	-0.00761029636487365
0.0241229898711511	0.0109899928904312	0.540037226989004	0.79606577023316	-2.14037494095754	-20.3083169005893	-0.00701305828988552
0.0244661170684038	0.0109409044169306	0.540128450965718	0.796065773815921	-2.14037493944192	-20.3076668469579	-0.00642390642315149
0.0248934608939866	0.0109051126554979	0.540187161526125	0.796065777414186	-2.14037493798627	-20.3070958792014	-0.00582932215183973
0.0255085855057445	0.0108373861727207	0.540233595634655	0.796065781015489	-2.14037493654523	-20.3065150327118	-0.00522924493998289
0.0259250105181222	0.0107481538336344	0.540218978361351	0.796065784610257	-2.14037493508445	-20.3059412158799	-0.00463766139000654
0.026227158519658	0.0106879779543371	0.540335289831443	0.796065788206253	-2.14037493361153	-20.3053718989864	-0.00405545998364687
0.0266639884462666	0.0106050912533282	0.540370494781167	0.796065791811494	-2.14037493216484	-20.3048004747501	-0.00347386975772679
0.027256777214957	0.0105242979824495	0.540412530604854	0.796065795422597	-2.14037493073385	-20.3042295615527	-0.00289514800533652
0.0276725138601537	0.0104507456310343	0.540436517659828	0.796065799029837	-2.14037492928184	-20.3036639136981	-0.00232368009164929
0.027953190039275	0.0103382576631545	0.540497223366381	0.796065802634564	-2.14037492781832	-20.3031281129422	-0.00178609229624271
0.028345678156942	0.0103187202905828	0.540643147399696	0.796065806258553	-2.14037492637066	-20.3025787902608	-0.00123685947619379
0.0289370645293429	0.010166806912442	0.540665660967083	0.796065809883011	-2.14037492494861	-20.3020355781188	-0.000698544317856431
0.0293611689701948	0.0100877635849623	0.540721178916681	0.796065813507203	-2.14037492350543	-20.3015161553597	-0.000183426862349734
0.0296311244254522	0.00997866985509891	0.540793534010881	0.796065817127109	-2.14037492204479	-20.3010194796964	0.000304525543469936
0.0299734692211046	0.0099424675259723	0.540941545074513	0.796065820755886	-2.1403749205976	-20.3005486558365	0.000764297263231128
0.0304270948982063	0.00979901479659673	0.540939930012166	0.796065824389348	-2.14037491916526	-20.3000826239245	0.00121714116539806
0.0307998513165146	0.00976330569896997	0.541094266738309	0.796065828023694	-2.14037491771924	-20.2996224331742	0.00166182802058756
0.0310049927221235	0.00959656970986261	0.541083664652086	0.796065831657067	-2.14037491625916	-20.2991917139591	0.00207511871121824
0.0313035577362013	0.00962177411121534	0.541371463383804	0.796065835310706	-2.14037491480157	-20.2987628063163	0.00248415698297322
0.0316966515307349	0.00946667651760212	0.541385403411351	0.796065838961236	-2.14037491336452	-20.2983504662912	0.00287400116212666
0.0320295581991709	0.00942414375406205	0.541523038029416	0.796065842616181	-2.1403749119164	-20.297953157537	0.00324869202449918
0.0322481609461953	0.00933551180495755	0.541624716079718	0.796065846271214	-2.14037491046024	-20.2975654592217	0.00361082726158202
0.0325506892634459	0.00927845763443635	0.54180823547698	0.796065849933142	-2.14037490901039	-20.2972094634934	0.00393803743645549
0.0328753418479075	0.00921484601064768	0.541914185742346	0.796065853599603	-2.14037490756222	-20.2968708715184	0.00424849567934871
0.033108962511677	0.00915109514342668	0.542105757086363	0.796065857263552	-2.14037490610366	-20.2965210038948	0.00456674443557858
0.0332271413456841	0.00904477094982794	0.542196785950053	0.796065860931142	-2.14037490463718	-20.2961888146072	0.00486805103719234
0.0334574908893247	0.00904458318704425	0.542458190487357	0.796065864613307	-2.14037490317637	-20.2958615991583	0.00516026094555855
0.0337197971885288	0.00894661409623403	0.542504647858846	0.796065868296522	-2.14037490172112	-20.2955445515707	0.00544293876737356
0.0338779616624005	0.00893093793398674	0.542755270786998	0.796065871982658	-2.14037490024867	-20.2952344680613	0.00571604305878282
